Date,Headline,Publisher
2019-11-28,Real Gold Mining : UPDATE ON THE PROCEEDINGS REGARDING GUANGFA BANK ACCOUNTS #RealGoldMining #Stock #MarketScreener… https://t.co/aRmvOBbpUc,Twitter/Retail
2020-01-14,Goldman Sachs tells clients it is time to buy gold https://t.co/L61H0PQxTR,Twitter/Retail
2020-01-18,Superior Gold reports Q3 results,Twitter/Retail
2020-03-22,Gold Price Forecast – Gold Markets Rally Into The Weekend,Twitter/Retail
2020-04-26,"GOLD, Tuesday forecast, November 19",Twitter/Retail
2020-05-18,"Goldman On Gold: ""Time To Buy The Currency Of Last Resort""  https://t.co/xOgpsBr7jd",Twitter/Retail
2020-06-04,Gold Prices Inch Up; Trade Talks Remain in Focus,Twitter/Retail
2020-06-18,CORE GOLD TEMPORARILY SUSPENDS OPERATIONS AT DYNASTY GOLDFIELD  https://t.co/CxYlVLnQ8r,Twitter/Retail
2020-06-22,"Early Bird Weekend Report: Gold, Silver, And E-Mini S&P. Sign up for updates on Seeking Alpha!… https://t.co/BlKBfxruVK",Twitter/Retail
2020-06-23,Barron’s on MarketWatch: Gold has taken a beating — here’s how to play a rebound,Twitter/Retail
2020-07-07,This chart setup signals a major rally ahead for gold and silver (via @TradingNation) https://t.co/VHHVxcDvPI,Twitter/Retail
2020-07-10,Gold gains more than $80 an ounce in largest daily dollar climb on record https://t.co/WR0A7nyXi1,Twitter/Retail
2020-08-08,Gold edges back from modest gains after data,Twitter/Retail
2020-08-13,Renishaw : Sir David McMurtry awarded James Watt Gold Medal #Renishaw #Stock #MarketScreener https://t.co/vz7lfPYFtt https://t.co/uI9jWfgViM,Twitter/Retail
2020-10-14,Indian gold sold at discount as wedding demand disappoints,Twitter/Retail
2020-10-17,Gold Price Forecast – Gold Markets Relatively Stable,Twitter/Retail
2020-12-05,History suggests there's a good chance gold will bounce back strongly after this month's pummeling https://t.co/2fgldMWXV6,Twitter/Retail
2021-04-04,"Financial conditions are in the driver seat for investors and the Fed rate decisions, says Jeffrey Rosenberg of Bla… https://t.co/hDyPx6PZca",Twitter/Retail
2021-04-22,FOMC dot plot indicates a long pause https://t.co/F6wezJ7rlP,Twitter/Retail
2021-06-27,Imagine Holding Dacian Gold (ASX:DCN) Shares While The Price Zoomed 377% Higher,Twitter/Retail
2021-09-01,"$KL (-10.8% pre) Kirkland Lake Gold (KL) to Acquire Detour Gold (DRGDF) in Stock Deal Valued at C$4.9 Billion - SI

https://t.co/c0Lo8LtbaY",Twitter/Retail
2021-10-08,Gold futures gain 1.1% for the week,Twitter/Retail
2021-11-01,Gold: Viruses And Interest Rates. https://t.co/2hrokrSypR #finance #stocks #stockmarket,Twitter/Retail
2021-11-01,Stock Market Update: Gold Grabs Fourth-Straight Advance,Twitter/Retail
2021-12-14,Poland has brought home about 100 tons of gold from the Bank of England in a bid to demonstrate the strength of its… https://t.co/oVUu5Nuvtf,Twitter/Retail
2021-12-26,Price of Gold Fundamental Daily Forecast – U.S. Dollar Uptick Limiting Gold’s Gains,Twitter/Retail
2021-12-28,"Geopolitics, FOMC Meeting Minutes and Canadian Inflation in Focus",Twitter/Retail
2022-02-15,Gold firms ahead of tariff deadline and central bank decisions https://t.co/EZFDczi5P9 https://t.co/kE9ngOnIBA,Twitter/Retail
2022-02-26,Gold extends surge after Fed unveils measures to support economy https://t.co/alMBM87pTh,Twitter/Retail
2022-06-03,"Gold hovered near $1,700 an ounce, extending its rally to the highest in more than 7 years https://t.co/frfLbMdeVp https://t.co/dNMkIo8PEY",Twitter/Retail
2022-06-14,$PTOZF - Plato Gold reports Q3 results https://t.co/3YUY5dXUOk,Twitter/Retail
2022-08-13,Gold prices settle higher for a second straight session,Twitter/Retail
2022-09-04,Gold prices settle higher to post a weekly rise of over 1%,Twitter/Retail
2022-11-18,Gold Prices Near Flat Despite Uncertainties Revolving Around Prolonged Trade Spat,Twitter/Retail
2022-11-20,Gold prices slip after hitting more-than-6-year high https://t.co/HgKNB8gzdm,Twitter/Retail
2023-01-17,"Gold's haven reputation took a serious beating, with prices tumbling as investors sought to free up cash amid a bro… https://t.co/59kM1nufrI",Twitter/Retail
2023-01-26,LIVE NOW: Press conference with #FOMC Chair Powell: https://t.co/sh1FXgYlwr and https://t.co/FJa6TbkDMt,Twitter/Retail
2023-02-13,Anglo Australian Resources NL : Exploration Update for Mandilla Gold Discovery #AngloAustralianResourcesNL #Stock… https://t.co/QRvualHOf5,Twitter/Retail
2023-03-12,"Dec. gold settles at $1,471.90/oz, up $3.40, or 0.2%",Twitter/Retail
2023-04-23,Metminco : 1st Hole at Chuscal Intersects Impressive 350m Gold Interval #Metminco #Stock #MarketScreener… https://t.co/aUSyAHMHHg,Twitter/Retail
2023-05-14,"Oil and gold rise after a U.S. airstrike in Baghdad killed a top Iranian commander
-Asian stocks including Hong Ko… https://t.co/G5FSqO7cRr",Twitter/Retail
2023-05-15,Alio Gold Settles Arbitration With Maverix Metals  https://t.co/DA3DrYrybW,Twitter/Retail
2023-06-06,"'Hope' Vs 'Nope' - Dow Soars 1000 Points As Gold Spikes Near $1,700  https://t.co/gy9Ll5GZmK",Twitter/Retail
2023-07-11,Gold holds gain after WHO chief's 'tip of the iceberg' warning https://t.co/oZn2yd2JQ4 via @business https://t.co/3GdcWuMfIK,Twitter/Retail
2023-08-05,"Dow Tags 28k, Dumps In Catch-Down To Bonds, Gold https://t.co/eOvBhIcH7B",Twitter/Retail
2023-08-29,Can Kirkland Lake Gold Ltd. (TSE:KL) Maintain Its Strong Returns?,Twitter/Retail
2023-09-25,Dollar & Bond Yields Slide After FOMC Folds https://t.co/ITPlHnCbXG,Twitter/Retail
2023-11-30,Stock Market Update: Gold Little Changed,Twitter/Retail
